country;model;name;year;mileage;fuel;price
DE;ford;Ford Focus 1.6 Ghia*HU/AU bis;2020;231658;Petrol;899
DE;bmw;BMW 116;2015;99649;Diesel;15 300
DE;bmw;BMW 420;2016;89322;Diesel;20 990
DE;bmw;BMW X1;2013;105000;Diesel;11 890
DE;bmw;BMW 135;2012;153000;Gasoline;18 500
DE;bmw;BMW i3;2016;22205;Electric;24 390
DE;bmw;BMW i3;2016;22205;Electric/Gasoline;24 390
DE;bmw;BMW 535;2010;60000;Gasoline;14 900
DE;bmw;BMW 318;2015;173000;Diesel;13 900
DE;bmw;BMW i3;2017;46400;Electric;20 999
DE;bmw;BMW X5;2013;172200;Diesel;20 900
DE;bmw;BMW 316;1996;30325;Gasoline;2 490
DE;bmw;BMW 320;2011;200000;Diesel;6 199
DE;bmw;BMW X1;2013;79320;Gasoline;23 950
DE;bmw;BMW 520;2015;75763;Diesel;21 950
DE;bmw;BMW 216;2016;85800;Gasoline;14 900
DE;bmw;BMW 116;2016;36700;Gasoline;12 892
DE;bmw;BMW 318;2016;123400;Diesel;14 949
DE;bmw;BMW 216;2017;39000;Gasoline;15 248
DE;bmw;BMW 116;2013;166000;Diesel;7 499
DE;bmw;BMW 220;2015;17100;Gasoline;24 480
DE;fiat;Fiat Punto;2005;31131;Gasoline;2 390
DE;fiat;Fiat Idea;2006;216000;Diesel;1 900
DE;fiat;Fiat 500;2019;100;Gasoline;12 700
DE;fiat;Fiat 500;2019;100;Gasoline;12 900
DE;fiat;Fiat Panda;2010;110897;Gasoline;1 979
DE;fiat;Fiat 500C;2019;10;Gasoline;13 745
DE;fiat;Fiat 500;2018;8137;Gasoline;11 375
DE;fiat;Fiat 500;2018;8137;Gasoline;11 675
DE;fiat;Fiat Doblo;2017;209000;Diesel;3 890
DE;fiat;Fiat Tipo;2018;29205;Gasoline;9 900
DE;fiat;Fiat Doblo;2016;60000;Diesel;7 800
DE;fiat;Fiat Ducato;2019;19880;Diesel;22 250
DE;fiat;Fiat Ducato;2012;225000;Diesel;8 975
DE;fiat;Fiat 500X;2019;13665;Gasoline;17 500
DE;toyota;Toyota Yaris;1999;174124;Gasoline;1 000
DE;toyota;Toyota Yaris;2013;138240;Gasoline;7 900
DE;toyota;Toyota Auris;2013;66500;Electric/Gasoline;13 790
DE;toyota;Toyota C-HR;2018;40700;Gasoline;19 450
DE;toyota;Toyota Auris;2018;29600;Electric/Gasoline;18 390
DE;toyota;Toyota Auris;2015;153000;Diesel;8 290
DE;toyota;Toyota Avensis;2013;245000;Gasoline;7 899
DE;toyota;Toyota RAV 4;2010;114670;Diesel;10 900
DE;toyota;Toyota Yaris;2016;31180;Gasoline;7 430
DE;toyota;Toyota Auris;2009;93487;Gasoline;6 400
DE;toyota;Toyota Aygo;2019;7000;Gasoline;9 400
DE;toyota;Toyota Auris;2010;104700;Gasoline;5 900
DE;toyota;Toyota Yaris;2008;132631;Gasoline;3 990
DE;toyota;Toyota Yaris;2011;34350;Gasoline;6 990
DE;toyota;Toyota Yaris;2017;23717;Gasoline;9 950
DE;toyota;Toyota C-HR;2017;63184;Electric/Gasoline;18 500
DE;toyota;Toyota C-HR;2017;25600;Electric/Gasoline;20 990
DE;toyota;Toyota Auris;2015;90000;Gasoline;9 930
DE;toyota;Toyota C-HR;2019;50;Gasoline;19 990
DE;toyota;Toyota C-HR;2019;50;Gasoline;19 990
DE;peugeot;Peugeot 2008;2019;17344;Gasoline;13 990
DE;peugeot;Peugeot 2008;2017;46085;Diesel;14 490
DE;peugeot;Peugeot 407;2005;220000;Diesel;1 900
DE;peugeot;Peugeot 207;2009;164600;Diesel;2 450
DE;peugeot;Peugeot Partner;2015;93688;Diesel;8 990
DE;peugeot;Peugeot Partner;2013;152815;Diesel;5 690
DE;peugeot;Peugeot 308;2014;177000;Diesel;5 900
DE;peugeot;Peugeot Boxer;2012;225000;Diesel;8 975
DE;peugeot;Peugeot 5008;2017;26175;Gasoline;21 390
DE;peugeot;Peugeot 108;2020;2020;Gasoline;11 390
DE;peugeot;Peugeot 308;2018;23500;Gasoline;19 990
DE;peugeot;Peugeot 208;2019;10;Gasoline;15 390
DE;peugeot;Peugeot 308;2016;12872;Diesel;22 900
DE;peugeot;Peugeot 208;2016;20000;Gasoline;9 990
DE;peugeot;Peugeot 2008;2019;10;Gasoline;20 500
DE;peugeot;Peugeot 208;2017;8500;Gasoline;9 900
DE;peugeot;Peugeot 208;2019;10;Gasoline;15 390
DE;peugeot;Peugeot 207;2008;128774;Diesel;4 350
DE;peugeot;Peugeot 206;2004;121628;Diesel;2 750
DE;peugeot;Peugeot 5008;2018;43310;Diesel;22 636
DE;volvo;Volvo XC60;2015;193121;Diesel;15 900
DE;volvo;Volvo XC60;2017;25378;Diesel;22 980
DE;volvo;Volvo V60;2017;66351;Diesel;16 980
DE;volvo;Volvo XC90;2006;231156;Diesel;5 400
DE;volvo;Volvo V40 Cross Country;2014;64750;Diesel;15 990
DE;volvo;Volvo XC60;2013;215000;Diesel;11 990
DE;volvo;Volvo XC60;2016;81898;Diesel;19 990
DE;volvo;Volvo V40;2014;65622;Diesel;12 500
DE;volvo;Volvo XC90;2008;180055;Diesel;10 800
DE;volvo;Volvo XC60;2012;205900;Diesel;11 400
DE;volvo;Volvo V70;1998;222221;Gasoline;500
DE;volvo;Volvo XC60;2015;75000;Diesel;23 500
DE;volvo;Volvo V60;2015;166000;Diesel;11 000
DE;volvo;Volvo V40;2018;67230;Diesel;16 950
DE;volvo;Volvo XC60;2015;98000;Gasoline;18 880
DE;volvo;Volvo XC60;2014;75868;Diesel;18 748
DE;volvo;Volvo V60;2017;50900;Gasoline;24 890
DE;volvo;Volvo C30;2013;89740;Diesel;12 000
DE;volvo;Volvo S40;2005;219000;Gasoline;3 250
DE;volvo;Volvo V40;2018;9533;Gasoline;19 990
DE;nissan;Nissan Navara;2007;94000;Diesel;9 990
DE;nissan;Nissan 370Z;2010;85400;Gasoline;18 599
DE;suzuki;Suzuki Splash;2008;40355;Gasoline;5 900
DE;suzuki;Suzuki Vitara;2017;27250;Gasoline;16 900
DE;suzuki;Suzuki Splash;2013;28000;Gasoline;6 499
DE;suzuki;Suzuki Jimny;2017;19950;Gasoline;15 600
DE;volkswagen;Volkswagen Touran;2012;206453;Diesel;7 390
DE;volkswagen;Volkswagen up!;2019;1822;Gasoline;16 980
DE;volkswagen;Volkswagen Touran;2016;189899;Diesel;12 390
DE;volkswagen;Volkswagen Tiguan;2011;230000;Diesel;7 700
DE;volkswagen;Volkswagen Golf;2012;124600;Gasoline;7 500
DE;volkswagen;Volkswagen Golf;2015;118000;Diesel;13 900
DE;volkswagen;Volkswagen Passat Variant;2016;123800;Diesel;11 499
DE;volkswagen;Volkswagen Passat Variant;2016;85700;Diesel;13 499
DE;volkswagen;Volkswagen Golf;2015;40100;Diesel;13 999
DE;volkswagen;Volkswagen Passat Variant;2008;229500;Diesel;3 490
DE;volkswagen;Volkswagen Touran;2013;147828;Diesel;10 450
DE;volkswagen;Volkswagen Golf;2004;205649;Gasoline;1 650
DE;volkswagen;Volkswagen Golf;2013;60039;Gasoline;9 490
DE;volkswagen;Volkswagen Polo;2003;180000;Gasoline;2 499
DE;volkswagen;Volkswagen Golf;2018;59850;Diesel;13 650
DE;volkswagen;Volkswagen Golf;2015;48950;Gasoline;11 875
DE;volkswagen;Volkswagen Passat Variant;2012;130000;Diesel;11 900
DE;volkswagen;Volkswagen Bora;2002;351500;Diesel;1 999
DE;volkswagen;Volkswagen Touran;2014;132047;Diesel;9 780
DE;volkswagen;Volkswagen Golf;2000;200000;Gasoline;950
DE;renault;Renault Megane;2019;11543;Gasoline;18 470
DE;renault;Renault Twingo;2015;74509;Gasoline;6 990
DE;renault;Renault Megane;2006;198000;Diesel;1 900
DE;renault;Renault Clio;2007;116351;Gasoline;1 200
DE;renault;Renault Clio;2010;78955;Gasoline;3 950
DE;renault;Renault Clio;2007;116351;Gasoline;1 200
DE;renault;Renault Modus;2010;29757;Gasoline;5 999
DE;renault;Renault Kadjar;2019;50;Gasoline;23 450
DE;renault;Renault Kangoo;2015;100500;Diesel;8 990
DE;renault;Renault Clio;2017;73000;Diesel;9 590
DE;renault;Renault Master;2005;220000;Diesel;2 900
DE;renault;Renault Scenic;2012;138695;Diesel;5 690
DE;renault;Renault Kangoo;2016;49179;Diesel;14 950
DE;opel;Opel Adam;2014;87101;LPG;7 800
