country;model;name;year;mileage;fuel;price
NL;ford;Ford FIESTA FIESTA airco;2000;122967;Petrol;850
NL;ford;Ford Fiesta 1.3-8V STYLE;2006;141118;Petrol;900
NL;ford;Ford Transit 300M 2.2 TDCI L2H2 9 SITZ. PERSONENBUS KLIMA;2011;257841;Diesel;4950
NL;ford;Ford fusion 1.4-16v Automaat Airco 1e eigenaar 5-Drs NAP 90Dkm;2003;90572;Petrol;2750
NL;ford;Ford Mondeo 2.0 TDi 16v, Airco;2001;306040;Diesel;750
NL;ford;Ford Fiesta 1.6 TDCi ECOnetic Lease Trend;2012;109221;Diesel;2000
NL;ford;Ford Fiesta 1.6 TDCi ECOnetic Titanium;2011;171171;Diesel;2850
NL;ford;Ford Focus Wagon 1.5 TDCI Trend;2016;157580;Diesel;3600
NL;ford;Ford mondeo Station 1.8-16V Airco;2001;226512;Petrol;550
NL;ford;Ford Transit Custom 310 2.0 TDCI 130pk L2H1 Trend 9 Persoons;2016;74683;Diesel;29850
NL;ford;Ford Transit Custom 310L L2 H1 2.0 TDCI 130pk Trend 9-persoons Airco Cruise P...;2017;101938;Diesel;17850
NL;ford;Ford Transit Custom 310L L2 H1 2.0 TDCI 130pk Trend 9-persoons Airco Cruise P...;2017;101759;Diesel;17850
NL;ford;Ford Transit Custom 310 2.0 TDCI 130pk L2H1 Trend 9 Persoons;2017;58226;Diesel;33850
NL;ford;Ford Transit Custom 310 2.0 TDCI 130pk L2H1 Trend 9 Persoons;2017;105184;Diesel;29450
NL;ford;Ford Focus Wagon 1.0 EcoBoost 125pk Lease Edition;2018;26044;Petrol;17950
NL;ford;Ford Transit Custom 310L L2 H1 2.0 TDCI 130pk Trend 9-persoons Airco Cruise P...;2017;100583;Diesel;17850
NL;ford;Ford Transit Custom 310 2.0 TDCI 130PK L2H1 TREND Kombi 9 Persoons Airco;2016;74692;Diesel;30850
NL;ford;Ford Transit Custom Kombi 300S 2.2TDCI 100PK L1H1 Trend Airco/Parkeersensoren;2016;81033;Diesel;27850
NL;ford;Ford Custom Tourneo 330L 2.2TDCI 125PK L2H1 Trend  9 Persoons;2016;74692;Diesel;35850
NL;ford;Ford Custom Tourneo 300 2.2 TDCI 100pk L2H1 TREND 9 Persoons Prijs incl btw e...;2016;59078;Diesel;32850
NL;ford;Ford Custom 2.0TDCI 130pk  L2H1 Trend 9 Persoons;2016;81602;Diesel;31850
NL;ford;Ford Transit 100L 5.13;1998;90967;Petrol;3750
NL;ford;Ford Transit Tourneo 280S 2.0 TDDi 85hp - 6836;2005;338247;Diesel;1950
NL;ford;Ford Transit/Tourneo 280S 2.2TDCI;2008;310599;Diesel;5990
NL;bmw;BMW 635 CSI Coupe 635 CSI Coupe, mehrfach VORHANDEN!;1989;77392;Petrol;25812
NL;bmw;BMW 635 CSI Coupe 635 CSI Coupe, mehrfach VORHANDEN!;1985;42259;Petrol;25812
NL;bmw;BMW R 60/2;1968;1;Petrol;23652
NL;bmw;BMW R 69S R69S mit Steib Seitenwagen;1968;54993;Petrol;30240
NL;bmw;BMW / DERICHS Formel 3 BMW / DERICHS Formel 2/3 Rennwagen;1976;1000;Petrol;61560
NL;bmw;BMW 3-serie Coupé 325i Executive Navi/Leer Dealer onderhouden;2008;200354;Petrol;7950
NL;fiat;Fiat 500C;2013;48729;‌;7950
NL;fiat;Fiat 500 0.9 TwinAir Turbo 500S;2014;58901;Petrol;9200
NL;fiat;Fiat Punto Evo 0.9 TwinAir Sempre;2017;52738;Petrol;6400
NL;fiat;Fiat 500 1.2 Lounge;2010;65898;Petrol;7900
NL;fiat;Fiat 500 ABARTH Sport+;2009;140000;Petrol;8750
NL;fiat;Fiat Punto 1.3 multijet 16V , Airco , Not Running;2007;234320;Diesel;800
NL;fiat;Fiat Bravo 1.9 MJT , Airco , VAN;2008;320742;Diesel;1100
NL;fiat;Fiat Tipo Stationwagon 1.4 T-Jet 16v S-Design;2018;17835;Petrol;22750
NL;fiat;Fiat 500X 1.6i PopStar Navi/Airco;2016;76831;Petrol;9880
NL;fiat;Fiat 500 X 1.6 PopStar;2015;45964;Petrol;15200
NL;fiat;Fiat Sedici 1.6-16V Emotion (trekhaak - clim.ctrl - multifunctioneel stuurwiel);2009;145380;Petrol;5400
NL;fiat;Fiat 500 0.9 TwinAir Turbo 500S;2014;63774;Petrol;9440
NL;fiat;Fiat 500 C 0.9 TwinAir Turbo Lounge;2020;10;Petrol;21740
NL;fiat;Fiat Freemont 2.0 MultiJet 16V AWD Sport (7persoons - lederen bekleding - Nav...;2015;82000;Diesel;25750
NL;fiat;Fiat Panda 1.2 Easy;2020;10;Petrol;15075
NL;fiat;Fiat 500 0.9 TwinAir Lounge Turbo 85PK Millionaire (Parelmoer kleur) (climate...;2013;63861;Petrol;8900
NL;fiat;Fiat 500 X Cross 1.0 GSE City Cross Opening Edition;2020;23;Petrol;28750
NL;fiat;Fiat 124 Spider 1.4 MultiAir Turbo Lusso (nu met voorraadvoordeel!!!) (ClimC...;2019;1;Petrol;34950
NL;toyota;Toyota yaris 3-Drs 1.0 VVT-i Yorin;2002;251261;Petrol;850
NL;toyota;Toyota yaris 3-Drs 1.3 VVTi Sol Airco;2006;149135;Petrol;2500
NL;toyota;Toyota Verso-S 1.3 VVT-i Aspiration;2012;176594;Petrol;5350
NL;toyota;Toyota Land Cruiser V8 4.5 D4D Executive Grijs kenteken v.a. 1030 euro  p/mnd;2015;72555;Diesel;62950
NL;toyota;Toyota corolla-verso 2.2 D-4D Terra Airco;2006;394772;Diesel;1980
NL;toyota;Toyota 2014 TOYOTA HILUX 4X4 EXTRA CAB EXTRA CAB;2014;151000;Diesel;12700
NL;toyota;Toyota TOYOTA LAND CRUISER (200 SERIES) V8 4.5 D-4D Autom. 7p;2008;179291;Diesel;33750
NL;toyota;Toyota RAV4 2.4 VVT-I   4WD AUT. 49.633KM;2012;49923;Petrol;10750
NL;toyota;Toyota aygo 1.0-12V + 5-Drs Edition;2008;138623;Petrol;2600
NL;toyota;Toyota Avensis Verso 2.0 D4-D Linea Sol Airco ,Dakdrager .Trekhaak 1500 kg.  Al...;2004;243327;Diesel;4950
NL;toyota;Toyota Avensis Avensis;2006;221649;Petrol;3149
NL;toyota;Toyota TOYOTA YARIS Yaris;2000;274115;‌;850
NL;toyota;Toyota mr-2 1.8 16_V VT-i ( ZZW30);2002;149100;Petrol;7750
NL;toyota;Toyota Land Cruiser TD4.5 VDJ79L (15 Units);2019;1;Diesel;33500
NL;peugeot;Peugeot 1007;2006;108700;Petrol;1400
NL;peugeot;Peugeot Bipper Euro 5, 1.3 HDI XR profit + , APK 01-09-20;2013;120734;Diesel;3290
NL;peugeot;Peugeot 2008 1.2 PureTech 82 Active Automaat Navi/Airco;2014;53108;Petrol;7250
NL;peugeot;Peugeot 307 CC 2.0 16V;2004;165410;Petrol;1000
NL;peugeot;Peugeot 206 HDI 206 Manual, Airco;2005;265680;Diesel;1900
NL;peugeot;Peugeot Expert 220C 2.0 HDI 110PK Airco 2 schuifdeuren Trekhaak;2005;154479;Diesel;4950
NL;peugeot;Peugeot 407 2.0 16V;2005;255784;Petrol;1500
NL;peugeot;Peugeot 206 1.9D;1999;213000;Diesel;1250
NL;peugeot;Peugeot 108 1.0 e-VTi Active;2017;43858;Petrol;3850
NL;peugeot;Peugeot 206 SW 1.6-16V XS;2003;229721;Petrol;900
NL;peugeot;Peugeot 208 1.2 VTi Active airco NAP NL auto;2012;180098;Petrol;4950
