country;model;name;year;mileage;fuel;price
PL;ford;Ford Kuga;2018 ;172 890 ;Diesel;67 800
PL;ford;Ford Kuga;2010 ;101 000 ;Diesel;34 900
PL;ford;Ford Fiesta Mk7;2010 ;124 590 ;Benzyna;16 900
PL;ford;Ford Galaxy 2.0;2010 ;257 000 ;Diesel;31 500
PL;ford;Ford Kuga 2.0;2009 ;218 000 ;Diesel;36 600
PL;ford;Ford Galaxy 2.0;2009 ;164 000 ;Benzyna;32 900
PL;ford;Ford Mondeo 2.0;2014 ;159 000 ;Diesel;33 900
PL;ford;Ford Mondeo Mk5;2015 ;180 000 ;Diesel;51 900
PL;ford;Ford S-Max I;2014 ;177 000 ;Diesel;42 900
PL;ford;Ford Focus C-Max;2006 ;208 523 ;Benzyna;15 800
PL;ford;Ford Fiesta Mk7;2013 ;120 000 ;Diesel;19 500
PL;ford;Ford Focus Mk2;2010 ;216 200 ;Diesel;13 800
PL;ford;Ford Probe;1995 ;203 000 ;Benzyna;2 800
PL;ford;Ford Kuga I;2010 ;163 000 ;Diesel;37 999
PL;ford;Ford Mondeo Mk4;2009 ;213 000 ;Diesel;25 500
PL;ford;Ford Kuga I;2009 ;218 000 ;Diesel;33 900
PL;ford;Ford S-Max I;2009 ;178 802 ;Benzyna;26 000
PL;ford;Ford Mondeo Mk5;2015 ;118 000 ;Diesel;47 900
PL;ford;Ford Fusion;2017 ;85 000 ;Benzyna;49 200
PL;ford;Ford Galaxy;2005 ;277 000 ;Diesel;9 900
PL;ford;Ford Focus 1.6;2011 ;205 000 ;Benzyna;29 900
PL;ford;Ford Mondeo;2002 ;223 000 ;Benzyna;4 999
PL;ford;Ford Ranger;2017 ;29 000 ;Diesel;109 000
PL;ford;Ford EDGE;2016 ;58 000 ;Benzyna;88 900
PL;ford;Ford Mondeo Mk5;2015 ;180 344 ;Diesel;49 998
PL;ford;Ford Kuga 2.0;2009 ;224 000 ;Diesel;29 900
PL;ford;Ford Focus;2007 ;192 445 ;Benzyna;10 900
PL;ford;Ford Mondeo 2.0;2009 ;235 000 ;Benzyna;21 999
PL;ford;Ford Fiesta Mk7;2011 ;60 039 ;Benzyna;22 900
PL;ford;Ford Mondeo Mk5;2015 ;184 000 ;Diesel;54 900
PL;ford;Ford S-Max;2011 ;178 000 ;Benzyna;36 900
PL;ford;Ford Mondeo 2.0;2007 ;217 000 ;Benzyna;18 900
PL;bmw;BMW Seria 2;2015 ;211 000 ;Diesel;59 900
PL;bmw;BMW Seria 1 116i;2012 ;104 896 ;Benzyna;39 999
PL;bmw;BMW X5 3.0d;2007 ;267 000 ;Diesel;61 000
PL;bmw;BMW X3 xDrive20d;2015 ;191 000 ;Diesel;77 777
PL;bmw;BMW Seria 5 520d;2006 ;345 000 ;Diesel;21 900
PL;bmw;BMW Seria 1;2018 ;75 000 ;Diesel;77 999
PL;bmw;BMW X1;2011 ;133 702 ;Diesel;13 000
PL;bmw;BMW Seria 3;2014 ;120 000 ;Diesel;76 900
PL;bmw;BMW Seria 3;2007 ;178 858 ;Benzyna;44 000
PL;bmw;BMW Seria 5;2013 ;85 000 ;Diesel;81 700
