country;model;name;year;mileage;fuel;price
UK;ford;Ford Mondeo 2.0 TDCi 140 Zetec 5 door;2013;83 329;Diesel;4989
UK;ford;Ford Fiesta 1.25 Zetec 3dr;2005;75 000;Petrol;850
UK;ford;Ford Focus 1.6 i 16v Ghia 5dr;2002;159 000;Petrol;200
UK;ford;Ford Focus 1.6 TDCi ECOnetic DPF 5dr;2010;129 300;Diesel;1495
UK;ford;Ford C-Max 1.6 16v Style 5dr;2008;82 000;Petrol;1490
UK;ford;Ford Mondeo 2.0 TDCi Zetec 5dr;2007;112 800;Diesel;695
UK;ford;Ford C-Max 1.6 TDCi Zetec 5dr;2011;184 600;Diesel;1795
UK;ford;Ford Focus 1.6 LX 5dr;2005;88 900;Petrol;1295
UK;ford;Ford Focus 1.8 Titanium 5dr;2008;84 000;Petrol;1495
UK;ford;Ford Fiesta 1.4 TDCi Zetec Climate 3dr;2008;86 500;Diesel;1100
UK;ford;Ford Fiesta 1.6 TDCi Zetec 5dr;2009;135 000;Diesel;1300
UK;ford;Ford Transit Custom 2.0 TDCi 310 Limited Double Cab-in-Van L2 …;2017;15 514;Diesel;21598
UK;ford;Ford Fiesta Sport 95ps Tdci - Euro 6 1.5;2015;30 947;Diesel;9588
UK;bmw;BMW 1 Series 1.5L Sport 118i 3dr;2016;29 215;Petrol;10750
UK;bmw;BMW 3 Series 2.0 320d ES 4dr;2003;99 000;Diesel;995
UK;bmw;BMW 3 Series 2.5 325Ci Sport 2dr;2003;166 000;Petrol;750
UK;bmw;BMW 3 Series 2.9 330d SE Touring 5dr Diesel Automatic (216 …;2003;161 000;Diesel;989
UK;bmw;BMW 1 Series 1.6 116i ES 5dr;2005;92 000;Petrol;1450
UK;bmw;BMW 1 Series 2.0 118d M Sport 5dr;2007;185 000;Diesel;2000
UK;bmw;BMW 3 Series 2.0 320d SE 4dr;2006;131 579;Diesel;2200
UK;bmw;BMW 3 Series 2.0 318Ci Sport 2dr;2003;130 000;Petrol;1195
UK;bmw;BMW 3 Series 2.0 320d SE Edition 4dr;2008;125 000;Diesel;2295
UK;bmw;BMW 3 Series 2.5 325Ci Sport 2dr;2003;157 000;Petrol;1490
UK;bmw;BMW 3 Series 2.0 318i SE 4dr;149;149 200;Petrol;2295
UK;bmw;BMW 1 Series 1.5 116d ED Plus (s/s) 5dr;2017;79 678;Diesel;9271
UK;bmw;BMW 1 Series 1.5L Sport 118i 3dr;2016;29 215;Petrol;10750
UK;fiat;Fiat 500 1.2L Lounge 8V 3dr;2016;5 186;Petrol;7450
UK;fiat;Fiat Bravo 1.4 T-Jet Dynamic 5dr;2010;78 250;Petrol;1550
