car;year;mean_price
ford;1995.0;653.67
ford;2002.0;1167.04
ford;2005.0;2311.19
ford;2006.0;3688.57
ford;2007.0;3478.46
ford;2009.0;6896.86
ford;2010.0;6307.88
ford;2011.0;6980.27
ford;2013.0;4552.35
ford;2014.0;8964.63
ford;2015.0;11946.89
ford;2016.0;20754.06
ford;2017.0;18466.21
ford;2018.0;15828.18
bmw;2006.0;12244.66
bmw;2007.0;12256.33
bmw;2008.0;7761.18
bmw;2009.0;11221.35
bmw;2010.0;9335.82
bmw;2011.0;10559.9
bmw;2012.0;13213.44
bmw;2013.0;15540.25
bmw;2014.0;18652.97
bmw;2015.0;16894.89
bmw;2016.0;22139.14
bmw;2018.0;38356.41
fiat;2004.0;1143.92
fiat;2005.0;1610.83
fiat;2006.0;2106.86
fiat;2007.0;2918.17
fiat;2008.0;3011.56
fiat;2009.0;4147.7
fiat;2010.0;3867.55
fiat;2011.0;3256.68
fiat;2013.0;35018.09
fiat;2015.0;10505.43
fiat;2016.0;9221.43
fiat;2017.0;8902.38
fiat;2018.0;8443.8
fiat;2019.0;14471.76
toyota;1999.0;4575.7
toyota;2003.0;1610.83
toyota;2005.0;3641.88
toyota;2006.0;2287.85
toyota;2008.0;3298.7
toyota;2009.0;9053.3
toyota;2010.0;10712.42
toyota;2011.0;7680.63
toyota;2012.0;12606.51
toyota;2014.0;8912.26
toyota;2015.0;8275.83
toyota;2017.0;11649.35
toyota;2018.0;21384.38
toyota;2019.0;14472.28
peugeot;2005.0;1999.92
peugeot;2007.0;2970.7
peugeot;2008.0;3050.47
peugeot;2009.0;5100.97
peugeot;2010.0;5447.1
peugeot;2011.0;5811.21
peugeot;2012.0;7532.78
peugeot;2013.0;7725.23
peugeot;2015.0;8499.75
peugeot;2016.0;10079.37
peugeot;2018.0;13050.08
audi;1996.0;3711.92
audi;2000.0;2101.09
audi;2002.0;3268.12
audi;2003.0;4412.28
audi;2004.0;3455.12
audi;2005.0;4038.75
audi;2007.0;3501.58
audi;2008.0;8124.2
audi;2010.0;8380.53
audi;2012.0;12583.17
audi;2013.0;12746.58
audi;2014.0;17380.64
audi;2016.0;21582.82
audi;2017.0;35780.71
audi;2018.0;25913.39
audi;2019.0;50884.4
audi;2020.0;101996.03
volvo;2002.0;1622.38
volvo;2003.0;1400.72
volvo;2004.0;3151.63
volvo;2005.0;2988.21
volvo;2009.0;5813.0
volvo;2010.0;8812.89
volvo;2011.0;8521.07
volvo;2012.0;10913.92
volvo;2013.0;8917.83
volvo;2014.0;16540.21
volvo;2015.0;19697.68
volvo;2016.0;19971.99
volvo;2017.0;36932.42
volvo;2018.0;35695.11
volvo;2019.0;38986.58
volvo;2020.0;40154.08
nissan;2001.0;700.13
nissan;2003.0;1354.03
nissan;2006.0;3245.01
nissan;2009.0;3501.81
nissan;2010.0;6513.36
nissan;2011.0;8847.9
nissan;2012.0;5310.96
nissan;2014.0;11672.46
nissan;2015.0;6513.37
nissan;2016.0;13306.88
nissan;2017.0;23322.05
nissan;2018.0;18186.06
nissan;2019.0;23836.96
nissan;2020.0;19592.62
suzuki;2001.0;3525.15
suzuki;2002.0;3945.37
suzuki;2005.0;2801.21
suzuki;2006.0;3384.96
suzuki;2007.0;5470.61
suzuki;2008.0;4466.68
suzuki;2009.0;3968.48
suzuki;2011.0;5626.24
suzuki;2012.0;4972.57
suzuki;2013.0;7680.63
suzuki;2015.0;8812.88
suzuki;2016.0;12478.12
suzuki;2017.0;9011.32
suzuki;2018.0;19528.43
suzuki;2019.0;18297.02
volkswagen;2002.0;1750.9
volkswagen;2005.0;3221.66
volkswagen;2006.0;3478.46
volkswagen;2007.0;3630.21
volkswagen;2011.0;5813.0
volkswagen;2012.0;10021.01
volkswagen;2013.0;7575.58
volkswagen;2015.0;13516.98
volkswagen;2019.0;26808.85
volkswagen;2020.0;22285.52
renault;1997.0;630.33
renault;2003.0;1885.14
renault;2004.0;1999.92
renault;2005.0;2077.74
renault;2006.0;1167.27
renault;2007.0;4855.84
renault;2008.0;2311.19
renault;2009.0;4614.6
renault;2010.0;5112.52
renault;2011.0;3548.5
renault;2013.0;7085.33
renault;2014.0;8042.49
renault;2015.0;8789.54
renault;2016.0;10030.58
renault;2017.0;12548.15
renault;2018.0;12349.71
renault;2019.0;12979.96
skoda;2002.0;2567.99
skoda;2005.0;1284.0
skoda;2009.0;5135.75
skoda;2010.0;4949.23
skoda;2011.0;5065.95
skoda;2013.0;6746.82
skoda;2014.0;7688.34
skoda;2015.0;7073.66
skoda;2016.0;9081.36
skoda;2017.0;16551.89
skoda;2018.0;12816.62
skoda;2019.0;26644.33
skoda;2020.0;21447.75
opel;2000.0;700.13
opel;2003.0;897.64
opel;2004.0;2544.65
opel;2005.0;2054.39
opel;2006.0;2645.81
opel;2007.0;2178.13
opel;2010.0;6746.82
opel;2011.0;5591.22
opel;2012.0;7003.62
opel;2013.0;5813.0
opel;2014.0;7275.98
opel;2015.0;7937.32
opel;2016.0;5649.24
opel;2017.0;16784.41
opel;2018.0;16038.29
opel;2020.0;27598.93
