name,mark,year,mileage,engine_power,fuel,consumption,ecology,gearbox,country,engine_size,accidents,exterior,interior,price
ford focus,ford,1999,200900.0,0.20593368237347295,Gasoline,7.0,166.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,490.0
opel vectra,opel,1998,199890.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,490.0
ford fiesta,ford,2000,189137.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,499.0
renault clio,renault,2004,186500.0,0.20593368237347295,Gasoline,5.9,139.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,500.0
audi a4,audi,1996,195000.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,590.0
fiat stilo,fiat,2002,121000.0,0.20593368237347295,Gasoline,7.5,179.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,600.0
audi a4,audi,1997,147900.0,0.20593368237347295,Gasoline,8.5,204.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,649.0
bmw 320,bmw,1999,312983.0,0.20593368237347295,Diesel,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,699.0
saab 9-5,saab,2001,208000.0,0.20593368237347295,Gasoline,9.3,223.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,700.0
skoda octavia,skoda,2003,189000.0,0.20593368237347295,Gasoline,7.2,173.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,799.0
opel agila,opel,2005,160000.0,0.20593368237347295,Gasoline,6.0,144.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,890.0
volkswagen lupo,volkswagen,2000,128970.0,0.20593368237347295,Gasoline,6.4,154.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,950.0
ford ka/ka+,ford,2006,103680.0,0.20593368237347295,Gasoline,6.8,165.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,950.0
mercedes-benz a 140,mercedes,2004,169000.0,0.20593368237347295,Gasoline,7.1,168.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,950.0
renault megane,renault,2001,107840.0,0.20593368237347295,Gasoline,7.2,170.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,975.0
fiat scudo,fiat,2001,269870.0,0.20593368237347295,Diesel,7.7,204.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,989.0
ford fiesta,ford,2004,183897.0,0.20593368237347295,Gasoline,6.9,147.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,990.0
lancia ypsilon,lancia,2002,111000.0,0.20593368237347295,Gasoline,5.7,136.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,990.0
bmw 318,bmw,2002,229800.0,0.20593368237347295,Gasoline,7.6,185.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,998.0
opel astra,opel,2000,137000.0,0.20593368237347295,Gasoline,7.2,173.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,999.0
volkswagen polo,volkswagen,2002,134000.0,0.20593368237347295,Gasoline,6.0,142.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,999.0
