name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency
Daewoo Rezzo;2003;200000 km;89 kW ;121 hp;Gasoline;9 l/100 km ;236 g CO2/km ;Manual;199,00;EUR
Volkswagen Golf;1994;222275 km;55 kW ;75 hp;Gasoline;0 l/100 km ;0 g CO2/km ;Manual;200,00;EUR
Ford Fiesta;2001;153000 km;44 kW ;60 hp;Gasoline;7.3 l/100 km ;171 g CO2/km ;Manual;290,00;EUR
Volkswagen Polo;1999;154000 km;44 kW ;60 hp;Gasoline;6.3 l/100 km ;151 g CO2/km ;Manual;350,00;EUR
Nissan Micra;1998;140000 km;40 kW ;54 hp;Gasoline;6 l/100 km ;152 g CO2/km ;Manual;380,00;EUR
Opel Omega;1995;186675 km;85 kW ;116 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;400,00;EUR
Ford Mondeo;1999;170000 km;96 kW ;131 hp;Gasoline;8 l/100 km ;192 g CO2/km ;Automatic;450,00;EUR
Mitsubishi Carisma;2003;200000 km;76 kW ;103 hp;Gasoline;7.4 l/100 km ;174 g CO2/km ;Manual;450,00;EUR
Ford Focus;1999;200900 km;74 kW ;101 hp;Gasoline;7 l/100 km ;166 g CO2/km ;Manual;490,00;EUR
Opel Vectra;1998;199890 km;74 kW ;101 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;490,00;EUR
Ford Fiesta;2000;189137 km;55 kW ;75 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;499,00;EUR
Renault Clio;2004;186500 km;55 kW ;75 hp;Gasoline;5.9 l/100 km ;139 g CO2/km ;Manual;500,00;EUR
Audi A4;1996;195000 km;74 kW ;101 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;590,00;EUR
Fiat Stilo;2002;121000 km;76 kW ;103 hp;Gasoline;7.5 l/100 km ;179 g CO2/km ;Manual;600,00;EUR
Audi A4;1997;147900 km;92 kW ;125 hp;Gasoline;8.5 l/100 km ;204 g CO2/km ;Manual;649,00;EUR
