name;year;mileage;capacity;fuel;other;price;currency
BMW Seria 5 BMW Seria 5 E61 rok grudzieÒ 2008;2008;290000 km;2993 cm33;Diesel;[];39000.0;PLN
BMW Seria 5 530d M Pakiet xdrive;2011;240000 km;3000 cm33;Diesel;[];78900.0;PLN
Kia Soul Salon Polska moøliwa Zamiana;2015;190000 km;1600 cm33;Diesel;[];38900.0;PLN
Infiniti QX30 Premium Sport 2018r. 2.0T 211KM.BLIèNIAK Mercedes GLA Przebieg 22tyú;2018;25000 km;1991 cm33;Petrol;[];89900.0;PLN
Audi A5 Salon Polska;2012;304950 km;1798 cm33;Petrol;[];39990.0;PLN
Kia Stonic Polski Salon,  Serwis ASO, Bezwypadkowy , Gwarancja, FVAT 23%;2019;21417 km;1368 cm33;Petrol;[];62900.0;PLN
Volkswagen Multivan VW T6 highline 4x4 bitdi 204 KM 2xel przesuwane drzwi 7 osÛb kamera;2017;55000 km;1968 cm33;Diesel;[];238000.0;PLN
Triumph Daytona sprzedam fantastyczny motocykl Triumph Daytona 675 R stan idealny;2016;10000 km;675 cm33;;['Sport'];42500.0;PLN
BMW Seria 5 BMW 520xd, 1 w≥. salon PL, katalogowa cena 350 tys z≥, WEBASTO, vat23%;2018;72000 km;1995 cm33;Diesel;[];160000.0;PLN
Mini Cooper bezwypadkowy, sprawny;2005;145000 km;1598 cm33;Petrol;[];16000.0;PLN
Renault Megane ***121tys***BOSE***1/2 SkÛra***KolorNavi**Op≥acona***Gwarancja***;2012;121000 km;1197 cm33;Petrol;[];27700.0;PLN
Renault Megane **2.0Benzyna**180KM**Alu**Climatronic**Op≥acona**Gwarancja**;2009;171000 km;1998 cm33;Petrol;[];22900.0;PLN
Mercedes-Benz Sprinter LONG  9 Osobowy nowa zabudowa;2018;178000 km;2143 cm33;;['Sprinter LONG '];125000.0;PLN
Peugeot partner  idealny 94 Tys Led Navi czujniki Brutto;2016;94000 km;1600 cm33;;['partner '];34000.0;PLN
Audi A3 1.9 TDI 105 km 5 drzwi, klima zarejestrowany;2007;360000 km;1896 cm33;Diesel;[];18999.0;PLN
Ford Mondeo;2016;100000 km;1997 cm33;Diesel;[];55000.0;PLN
Mercedes-Benz Klasa E Mercedes Klasa E W212 Coupe 350 CDI Blueefficienty 231km SALON PL;2009;205000 km;2987 cm33;Diesel;[];47500.0;PLN
Audi S7 Audi S7 2016 4,0 V8 BiTurbo 450KM, przebieg tylko 61000 km !!!;2016;62100 km;4000 cm33;Petrol;[];208000.0;PLN
Toyota Yaris sprzedaje prywatnie NAJWYØSZA WERSJA podgrzewane fotele klima;2009;201065 km;1364 cm33;Diesel;[];12900.0;PLN
Renault Espace Renault Espace;2004;197000 km;2188 cm33;Diesel;[];5900.0;PLN
BMW Seria 4 430i Facelift Cabrio 1 575 km Sport;2018;1588 km;1998 cm33;Petrol;[];129999.0;PLN
Iveco STRALIS  Iveco Stralis HI WAY E6 460;2015;350000 km;0;;['STRALIS '];105000.0;PLN
Wacker Neuson WL55  £adowarka ko≥owa WACKER NEUSON WL55;2008;0;0;;[];70000.0;PLN
BMW Seria 3 BMW 330i F30 M Pakiet 328i 320i;2017;43000 km;1998 cm33;Petrol;[];81900.0;PLN
Toyota RAV4 2,2 D4D 150KM 4x4, pe≥na elektryka, 2 kpl. opon zima/lato;2013;81420 km;2231 cm33;Diesel;[];56900.0;PLN
Jeep Renegade WYPRZEDAØ *2019* Limited 120KM M6 *Srebrny* Promocja;2019;3 km;999 cm33;Petrol;[];74680.0;PLN
Jeep Wrangler 2019' SAHARA 200KM MJD 8AT 4x4 FullTime *Czarna* SUPER;2019;5 km;2143 cm33;Diesel;[];219900.0;PLN
Jeep Compass WYPRZEDAØ *åliczny Limited 140KM 1,4 MAir 6 Manualna 2019 * !!!;2019;6 km;1368 cm33;Petrol;[];99425.0;PLN
Saab 9-3 Saab 9 3 1.9TiDS Vector 2005;2005;318000 km;1910 cm33;Diesel;[];9900.0;PLN
Volkswagen T-Roc Advance 2.0 TSI 190 KM, 4 Motion, dosotepny od reki !;2020;1 km;1984 cm33;Petrol;[];127900.0;PLN
BMW 7 oryginalne ko≥a;0;0;0;;['BMW', 'Ko≥a'];4500.0;PLN
Case IH CT5080  Pierwszy w≥aúciciel / Bardzo dobry stan / W trakcie pracy!;2003;0;0;;[];145000.0;PLN
Mercedes-Benz Klasa E 220d 4MATIC All Terrain (194KM) Pojazd Demonstracyjny AKCJA SPECJALNA;2019;13200 km;1950 cm33;Diesel;[];285749.0;PLN
VW GOLF 4 IV czarne reflektory lampy przednie prawa lewa TUNING 1997-2003 EUROPEJSKIE;0;0;0;;['Volkswagen', 'Nadwozie i oúwietlenie'];259.0;PLN
Mercedes-Benz GLC 63 S AMG 4MATIC+ Coupe FL (510KM);2019;5 km;3982 cm33;Petrol;[];434333.0;PLN
Ford Explorer III XLT 4.0 V6 BENZYNA 210KM Automat II.w≥aúciciel 7osÛb HAK;2004;124963 km;4015 cm33;Petrol;[];21950.0;PLN
Mercedes-Benz GLE 400d 4MATIC (330 KM) Wyprzedaø 2019! Promocyjny Leasing 101%;2019;10 km;2925 cm33;Diesel;[];492000.0;PLN
Mercedes-Benz CLS 53 AMG 4MATIC (435KM) Wyprzedaø rocznika 2019! Promocyjny Leasing 100%;2019;10 km;2996 cm33;Petrol;[];477000.0;PLN
Mercedes-Benz GLC 250 4MATIC 9G Tronic (211 KM) SamochÛd demonstracyjny!;2019;12000 km;1991 cm33;Petrol;[];227000.0;PLN
Mercedes-Benz Klasa C 200 4Matic 9G Tronic (184KM), SamochÛd demonstracyjny;2019;10622 km;1497 cm33;Petrol;[];175455.0;PLN
Mercedes-Benz GLC 250 4Matic Coupe 9G Tronic (211KM) Promocyjny leasing 101%!;2019;10 km;1991 cm33;Petrol;[];249500.0;PLN
Mercedes-Benz Klasa B 200d 8G DCT (150KM) SamochÛd demonstracyjny AKCJA SPECJALNA;2019;13500 km;1950 cm33;Diesel;[];136451.0;PLN
Mercedes-Benz GLC GLB 200d 4Matic 8G DCT (150KM) SamochÛd demonstracyjny!;2019;5 km;1950 cm33;Diesel;[];226000.0;PLN
Mercedes-Benz Klasa B 180 7G DCT (136KM) Promocyjny Leasing 101%! B klasa taniej o VAT!!!;2019;5 km;1332 cm33;Petrol;[];117000.0;PLN
Mercedes-Benz GLC 63 AMG S Coupe 9G Tronic (510KM) Promocyjny Leasing 101%!;2019;10 km;3982 cm33;Petrol;[];445000.0;PLN
Mercedes-Benz GLE 350d 4Matic 9G Tronic (272KM) Promocyjny leasing 100%!;2019;5 km;2925 cm33;Diesel;[];364500.0;PLN
"Mercedes-Benz Klasa B ""Promocyjny leasing 101%""";2019;5 km;1332 cm33;Petrol;[];128800.0;PLN
Mercedes-Benz Klasa B 180d 7G DCT (116KM) Wyprzedaø 2019 Leasing 100%;2019;1 km;1461 cm33;Petrol;[];127317.0;PLN
Mercedes-Benz Klasa B Promocyjny Leasing 100%, Wyprzedaø 2019!;2019;5 km;1494 cm33;Diesel;[];126867.0;PLN
Mercedes-Benz Klasa B 180d 7G DCT (116KM) Wyprzedaø 2019 lub 1% MajÛwka!;2019;10 km;1461 cm33;Diesel;[];127453.0;PLN
Mercedes-Benz Klasa B 180d 7G DCT (116KM) Wyprzedaø 2019;2019;5 km;1461 cm33;Diesel;[];125526.0;PLN
BMW M5 Alpina B5 E60 SUPERCHARGED nr 204/428 OKAZJA!!!;2006;60500 km;4400 cm33;Petrol;[];159900.0;PLN
Mercedes-Benz GLE GLE450 SUV 4Matic, Promocyjny leasing 100%!;2019;5 km;2999 cm33;Petrol;[];414125.0;PLN
