name;year;mileage;engine_size;fuel;other;price;currency
Green taxi cab car LTI tx4 2009 plate van 5 door;2009;263,819 miles;2,499 cc;Diesel;[];1200.0;GBP
2009 Bmw 116i Sport Low mileage;2009;76,200 miles;1,995 cc;Petrol;[];2890.0;GBP
2016 MINI Paceman 1.6 Cooper ALL4 3dr Coupe Petrol Manual;2016;35,867 miles;1,600 cc;Petrol;['Seller typeTrade'];9489.0;GBP
2005 LAND ROVER DISCOVERY 3 TDV6 ### AUTOMATIC ## ### MOT/D SEPTEMBER 2020 ###;2005;163,000 miles;2,720 cc;Diesel;['Seller typeTrade'];3995.0;GBP
2013 kia rio 2 Ecodynamics GRDI;2013;106,074 miles;1,120 cc;Diesel;['Seller typeTrade'];3895.0;GBP
Saab 9-3 1.9TiD ( 150bhp ) 2005MY Vector Sport;2005;118,000 miles;1,910 cc;Diesel;['Seller typeTrade'];1000.0;GBP
BMW X5;2006;168,000 miles;2,999 cc;Diesel;[];3265.0;GBP
VW GOLF GTI PERFORMANCE PACK. VERY LOW MILES. FULL VWSH;2015;21,500 miles;1,984 cc;Petrol;[];17000.0;GBP
Low miles and lovely looking car;2008;65,000 miles;1,798 cc;Petrol;[];3000.0;GBP
Honda jazz 2008. 1.2 Engine;2008;118,000 miles;1,246 cc;Petrol;[];595.0;GBP
VW GOLF Grey 12 MONTHS MOT;2006;142,000 miles;1,968 cc;Diesel;[];1500.0;GBP
2010 Volkswagen Passat Estate 2.0TDI R Line , mot - July 2021 ,4 month warranty;2010;144,000 miles;1,968 cc;Diesel;['Seller typeTrade'];2795.0;GBP
2009 Ford FIESTA 1.4 tdci style 9;2009;72,000 miles;1,399 cc;Diesel;['Seller typeTrade'];2695.0;GBP
2017 Hyundai Tucson 1.7 CRDi Blue Drive SE Nav 5dr 2WD Estate Diesel Manual;2017;19,032 miles;1,700 cc;Diesel;['Seller typeTrade'];13989.0;GBP
Land Rover Range Rover Evoque TD4 HSE DYNAMIC LUX PAN ROOF 55+MPG;2016;33,000 miles;1,999 cc;Diesel;['Seller typeTrade'];25980.0;GBP
Land Rover Range Rover TDV6 VOGUE SE - PAN ROOF - PACK;2016;43,000 miles;2,993 cc;Diesel;['Seller typeTrade'];39990.0;GBP
2014 Mercedes-Benz A-CLASS 2.1 A200 CDI SPORT 5d 136 BHP Semi Auto Hatchback Die;2014;29,584 miles;2,143 cc;Diesel;['Seller typeTrade'];12500.0;GBP
Mitsubishi shogun warrior swb;2006;169,000 miles;3,200 cc;Diesel;[];3295.0;GBP
2016 Vauxhall Viva 1.0 SE AC 5d 74 BHP Hatchback Petrol Manual;2016;23,362 miles;999 cc;Petrol;['Seller typeTrade'];5895.0;GBP
BMW E46 3 series;2004;130,000 miles;1,995 cc;Diesel;[];1250.0;GBP
MGTF;2004;58,000 miles;1,600 cc;Diesel;[];3000.0;GBP
Ford fiesta 1.25;2012;76,000 miles;1,242 cc;Petrol;[];3000.0;GBP
VERY LOW MILEAGE;2015;7,820 miles;2,143 cc;Diesel;[];14950.0;GBP
Audi TT white black edition!;2011;81,000 miles;2 cc;Diesel;[];9700.0;GBP
Vauxhall Astra 5 door;2014;60,617 miles;1,398 cc;Petrol;[];3200.0;GBP
Reluctant sale due to wanting a camper.;2014;39,414 miles;1,995 cc;Diesel;[];11500.0;GBP
Skoda Fabio;2009;103,000 miles;1,598 cc;Petrol;[];1000.0;GBP
Toyota Corolla 2.0 D4D diesel manual;2005;173,000 miles;2,000 cc;Diesel;[];675.0;GBP
2013 AUDT A3 1,6 TDI SPORT 7 AUTO/ 9;2013;83,746 miles;1,598 cc;Diesel;['Seller typeTrade'];7995.0;GBP
skodia fabia;2007;88,391 miles;1,198 cc;Petrol;[];1100.0;GBP
2014 Volkswagen Scirocco 2.0 GT TDI BLUEMOTION TECHNOLOGY 2d 140 BHP Coupe Diese;2014;85,545 miles;1,968 cc;Diesel;['Seller typeTrade'];8500.0;GBP
2013 Mercedes Benz E CLASS 2.1 E300 BLUETEC HYBRID AMG SPORT 5d 202 BHP Auto Est;2013;89,625 miles;2,143 cc;Other;['Seller typeTrade'];11995.0;GBP
2018 Mercedes Benz C Class C200 Sport 5dr Estate 9G Tronic Automatic Estate Petr;2018;7,794 miles;2,000 cc;Petrol;['Seller typeTrade'];19989.0;GBP
Citroen DS3;2013;44,000 miles;1,560 cc;Diesel;[];4500.0;GBP
Audi A4 1.9tdi swap px;2002;170,000 miles;1,896 cc;Diesel;[];995.0;GBP
MINI Cooper S Chili Pack For Sale 2006/56;2006;48,000 miles;1,598 cc;Petrol;[];3000.0;GBP
2103 SEAT EXEO 2.0 TDI SE ECOMOTIVE ### DEMO + ONE OWNER ### FULL SERVICE HISTORY ###;2013;105,000 miles;1,968 cc;Diesel;['Seller typeTrade'];4750.0;GBP
Renault Scenic;2002;184,552 miles;1,870 cc;Diesel;[];325.0;GBP
Fiat 500 lounge;2012;55,636 miles;1,242 cc;Petrol;[];3800.0;GBP
2010 Ford Focus 1.8 TITANIUM 5d 125 BHP Hatchback Petrol Manual;2010;81,000 miles;1,798 cc;Petrol;['Seller typeTrade'];3495.0;GBP
2010 Nissan 370Z 3.7 V6 GT 3d 328 BHP Coupe Petrol Manual;2010;55,619 miles;3,696 cc;Petrol;['Seller typeTrade'];12250.0;GBP
2016 Skoda Octavia 20 TDI SE;2016;73,752 miles;1,968 cc;Diesel;['Seller typeTrade'];7495.0;GBP
RENAULT CLIO 1.5 DYNAMIQUE NAV DCI,2016,Sat Nav,Bluetooth, 85mpg,Zero Road Tax,Spotless;2016;24,811 miles;1,461 cc;Diesel;['Seller typeTrade'];6995.0;GBP
Renault clio 2007;2007;99,000 miles;1,390 cc;Petrol;[];350.0;GBP
Ford Focus 1.6 Zetec -5 Door-2009;2009;45,300 miles;1,596 cc;Petrol;[];2150.0;GBP
1.6 Vauxhall Astra;2003;105,000 miles;1,598 cc;Petrol;[];300.0;GBP
