name;year;mileage;nr_of_accidents;color_exterior;color_interior;price;currency
Chevrolet Traverse LT with 1LT AWD;2012;126877 miles;0;gold ; black ;8499,00;USD
Acura RDX AWD;2010;109056 miles;3;black ; beige ;7700,00;USD
Mazda Mazda3 Touring 5-Door Automatic;2018;19530 miles;0;gray ; black ;19788,00;USD
Chrysler Town & Country Touring;2014;177152 miles;0;red ; black ;18495,00;USD
Lexus GX GX 460;2013;40424 miles;0;gold ; brown ;29919,00;USD
Land Rover Range Rover Velar P250;2019;21609 miles;0;white ; unknown ;42998,00;USD
"Mercedes-Benz Metris Passenger Van Standard Roof 126"" Wheelbase Worker";2019;23282 miles;0;black ; black ;23998,00;USD
"Ram 1500 Limited Crew Cab 5'7"" Box 4WD";2019;26992 miles;0;white ; black ;49999,00;USD
Jeep Wrangler Unlimited Sahara (JK);2018;48374 miles;0;silver ; black ;36898,00;USD
Nissan Altima SL FWD;2019;40995 miles;0;black ; black ;18498,00;USD
Kia Optima LX Automatic;2020;22519 miles;0;white ; black ;15500,00;USD
Toyota Corolla LE CVT;2020;27078 miles;0;white ; unknown ;16497,00;USD
Dodge Grand Caravan SXT;2019;47064 miles;0;white ; black ;15991,00;USD
Toyota Camry LE Automatic;2019;31506 miles;0;white ; black ;16486,00;USD
Ford Focus SE Hatchback;2014;113892 miles;0;white ; unknown ;5785,00;USD
Dodge Grand Caravan SXT;2019;38878 miles;0;silver ; black ;14447,00;USD
Nissan Rogue SV FWD;2019;174 miles;0;white ; black ;18490,00;USD
Chevrolet Malibu LT with 1LT;2019;2665 miles;0;white ; black ;15977,00;USD
Ford Fusion SEL FWD;2019;17837 miles;0;white ; unknown ;17695,00;USD
Kia Soul + Automatic;2019;32354 miles;0;red ; black ;11400,00;USD
Honda Civic LX Sedan Automatic;2012;138989 miles;1;silver ; gray ;4900,00;USD
Nissan Rogue SV FWD;2019;8847 miles;0;gray ; black ;17995,00;USD
Dodge Grand Caravan SXT;2019;33246 miles;0;black ; black ;17450,00;USD
Ford Fusion Hybrid SE FWD;2019;26904 miles;0;black ; beige ;15590,00;USD
Kia Soul + Automatic;2019;27554 miles;0;silver ; black ;12990,00;USD
Dodge Journey GT AWD;2019;26347 miles;0;black ; black ;20999,00;USD
Nissan Sentra SV CVT;2019;26830 miles;0;white ; black ;13097,00;USD
Nissan Versa SV Sedan CVT;2019;26502 miles;0;black ; black ;7991,00;USD
Kia Soul + Automatic;2019;22000 miles;0;red ; black ;12198,00;USD
Toyota Highlander XLE V6 AWD;2017;25154 miles;0;black ; beige ;23995,00;USD
Ford Fusion Hybrid SE FWD;2019;29476 miles;0;black ; black ;15999,00;USD
Nissan Altima SL FWD;2019;27720 miles;0;gray ; black ;17500,00;USD
Ford Fusion Hybrid SE FWD;2019;26354 miles;0;red ; black ;15333,00;USD
Honda Civic LX Sedan CVT;2017;37068 miles;0;black ; beige ;14455,00;USD
Ford Fusion Hybrid SE FWD;2019;37132 miles;0;white ; unknown ;14995,00;USD
Honda Accord Hybrid Touring Sedan;2017;129781 miles;2;black ; black ;13305,00;USD
Dodge Grand Caravan SXT;2019;31510 miles;0;gray ; black ;15984,00;USD
Kia Soul + Automatic;2019;35689 miles;0;white ; black ;11688,00;USD
Nissan Rogue SV FWD;2019;17906 miles;0;black ; black ;18070,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;23130 miles;0;white ; gray ;22595,00;USD
Kia Soul + Automatic;2019;46991 miles;0;white ; black ;14000,00;USD
Toyota Corolla LE CVT;2020;18223 miles;1;white ; gray ;14300,00;USD
Dodge Grand Caravan SXT;2019;38079 miles;0;black ; black ;15900,00;USD
Nissan Versa SV Sedan CVT;2019;26502 miles;0;black ; black ;7991,00;USD
Dodge Grand Caravan SXT;2019;31304 miles;0;white ; black ;17995,00;USD
Nissan Altima 2.5 S;2015;60384 miles;2;gray ; black ;8259,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;26865 miles;0;white ; gray ;22695,00;USD
Nissan Rogue SV FWD;2019;23388 miles;0;white ; black ;17697,00;USD
Dodge Challenger R/T RWD;2019;22070 miles;1;black ; black ;24679,00;USD
Chevrolet Malibu LT;2020;5801 miles;0;gray ; black ;18988,00;USD
Kia Optima LX Automatic;2020;15464 miles;0;gray ; black ;14990,00;USD
Dodge Grand Caravan SXT;2019;45034 miles;0;black ; black ;15541,00;USD
Toyota Camry LE Automatic;2019;31506 miles;0;white ; black ;16486,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;27768 miles;0;white ; gray ;22790,00;USD
Dodge Grand Caravan SXT;2019;42607 miles;0;gray ; black ;17014,00;USD
Chrysler 300 Limited RWD;2019;18805 miles;0;black ; black ;21988,00;USD
Kia Optima LX;2019;24707 miles;0;black ; black ;14800,00;USD
Dodge Grand Caravan SXT;2019;28796 miles;0;white ; black ;18197,00;USD
Dodge Grand Caravan SXT;2019;34088 miles;0;black ; black ;14991,00;USD
Nissan Rogue SV FWD;2019;35060 miles;0;black ; black ;16495,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;37206 miles;1;black ; gray ;10875,00;USD
